method,tree_id,split,domain,ok,MAE,error_sum,gt_B1,gt_B2,gt_B3,gt_B4,pred_B1,pred_B2,pred_B3,pred_B4,err_B1,err_B2,err_B3,err_B4,delta_B1,delta_B2,delta_B3,delta_B4
v1_corrected,DAMIMAS_A21B_0001,train,DAMIMAS,True,0.5,2,1,2,5,0,1,3,6,0,0,1,1,0,0,1,1,0
v1_corrected,DAMIMAS_A21B_0244,train,DAMIMAS,False,0.5,2,0,0,0,7,0,0,0,9,0,0,0,2,0,0,0,2
v1_corrected,DAMIMAS_A21B_0577,train,DAMIMAS,True,0.25,1,3,0,4,2,3,0,3,2,0,0,1,0,0,0,-1,0
v1_corrected,DAMIMAS_A21B_0002,train,DAMIMAS,False,1.0,4,1,0,7,4,2,0,6,6,1,0,1,2,1,0,-1,2
v1_corrected,DAMIMAS_A21B_0245,train,DAMIMAS,False,0.75,3,0,0,3,2,0,0,2,4,0,0,1,2,0,0,-1,2
v1_corrected,DAMIMAS_A21B_0578,train,DAMIMAS,True,0.25,1,1,5,1,0,1,4,1,0,0,1,0,0,0,-1,0,0
v1_corrected,DAMIMAS_A21B_0003,train,DAMIMAS,True,0.5,2,1,2,5,1,1,3,6,1,0,1,1,0,0,1,1,0
v1_corrected,DAMIMAS_A21B_0246,train,DAMIMAS,False,1.0,4,0,6,6,4,0,4,4,4,0,2,2,0,0,-2,-2,0
v1_corrected,DAMIMAS_A21B_0579,train,DAMIMAS,True,0.0,0,5,3,6,1,5,3,6,1,0,0,0,0,0,0,0,0
v1_corrected,DAMIMAS_A21B_0004,train,DAMIMAS,True,0.0,0,0,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0
v1_corrected,DAMIMAS_A21B_0247,train,DAMIMAS,True,0.25,1,2,3,5,0,2,3,6,0,0,0,1,0,0,0,1,0
v1_corrected,DAMIMAS_A21B_0580,train,DAMIMAS,True,0.25,1,2,4,6,1,2,4,7,1,0,0,1,0,0,0,1,0
v1_corrected,DAMIMAS_A21B_0005,train,DAMIMAS,True,0.25,1,1,3,3,2,1,3,3,1,0,0,0,1,0,0,0,-1
v1_corrected,DAMIMAS_A21B_0248,train,DAMIMAS,True,0.5,2,0,2,5,4,0,2,6,3,0,0,1,1,0,0,1,-1
v1_corrected,DAMIMAS_A21B_0581,train,DAMIMAS,True,0.0,0,1,3,5,2,1,3,5,2,0,0,0,0,0,0,0,0
v1_corrected,DAMIMAS_A21B_0006,train,DAMIMAS,True,0.5,2,1,0,5,3,1,0,4,4,0,0,1,1,0,0,-1,1
v1_corrected,DAMIMAS_A21B_0249,train,DAMIMAS,True,0.0,0,0,1,9,0,0,1,9,0,0,0,0,0,0,0,0,0
